id,type2,fname,cname,sname,rname,fplv,fcname,fspt,fename,rdate,fskl,energy,cenergy,cpower
BT10-022,BATTLE,"Shu, Dragon Ball Chaser",Red,Unison Warrior SeriesRise of the Unison Warrior,Common[C],15000,Shu,Earthling,Pilaf Saga,"July 17, 2020","**[Unique]** 
**[Auto]**  If your Leader Card is a Pilaf card and you have 3 or more mono-red energy : When this card is played from your hand, play up to 1 red Pilaf card and up to 1 red Mai card with energy costs of 2 from your deck, then shuffle your deck.",2((R)),0,5000
BT10-023,BATTLE,"Mai, the Gang's Femme Fatale",Red,Unison Warrior SeriesRise of the Unison Warrior,Common[C],5000,Mai,Earthling,Pilaf Saga,"July 17, 2020","**[Auto]**  When this card is played, look at up to 5 cards from the top of your deck, add up to 1 Earthling card with an energy cost of 4 or less among them to your hand, then shuffle your deck.",1((R)),0,5000
BT10-024,BATTLE,"Mai, Dragon Ball Chaser",Red,Unison Warrior SeriesRise of the Unison Warrior,Common[C],15000,Mai,Earthling,Pilaf Saga,"July 17, 2020","**[Unique]** 
**[Auto]**  If your Leader Card is a Pilaf card and you have 3 or more mono-red energy : When this card is played from your hand, play up to 1 red Pilaf card and up to 1 red Shu card with energy costs of 2 from your deck, then shuffle your deck",2((R)),0,5000
BT10-025,BATTLE,"Pilaf Machine, the Master Bot",Red,Unison Warrior SeriesRise of the Unison Warrior,Uncommon[UC],25000,Pilaf Machine,Earthling,Fortuneteller Baba Saga,"July 17, 2020","**[Triple Attack]** 
**[Activate Main]** (R)(R)(R), send 1 Pilaf card, 1 Mai card, and 1 Shu card from your Drop Area to your Warp : Play this card from your hand.
**[Auto]**  When this card is removed from your Battle Area by an opponent's skill or KO'd, choose up to 1 {Pilaf Machine, Ostrich Form} from your hand, Drop Area, or deck, play it, then shuffle your deck if you looked through it.",6((R)(R)),1,10000
BT10-026,BATTLE,"Pilaf Machine, Ostrich Form",Red,Unison Warrior SeriesRise of the Unison Warrior,Rare[R],20000,Pilaf Machine,Earthling,Fortuneteller Baba Saga,"July 17, 2020","**[Blocker]** 
**[Activate Main]** (R)(R), send 1 Pilaf card and 1 Shu card from your Drop Area to your Warp : Play this card from your hand.
**[Auto]**  When this card is played, choose up to 1 of your opponent's Battle Cards and it gets -25000 power for the turn.",4((R)(R)),0,5000
BT10-027,BATTLE,"Mercenary Tao, Unequaled Assassin",Red,Unison Warrior SeriesRise of the Unison Warrior,Uncommon[UC],15000,Mercenary Tao,Earthling,Mystical Adventure Saga,"July 17, 2020","**[Unique]** 
**[Activate Main]**  If your Leader Card is red and you have 3 or more non-Token Battle Cards in play : Play this card from your hand and it gains **[Critical]**  for the turn.",2((R)),0,5000
BT10-036,BATTLE,"SSB Son Goku, Hope for Victory",Blue,Unison Warrior SeriesRise of the Unison Warrior,Uncommon[UC],20000,Son Goku,Saiyan,Future Trunks Saga,"July 17, 2020","**[Permanent]**  During your opponent's turn, if all of your energy is mono-blue and you would reveal this card from your life to add it to your hand, you may place it in your energy in Rest Mode instead. If you do, draw 1 card.
**[Auto]**  At the end of your next turn after you place this card in your energy with this skill, if this card is in your energy, place it in its owner's Drop Area.",3((U)),0,5000
BT10-037,BATTLE,Son Goku,Blue,Unison Warrior SeriesRise of the Unison Warrior,Common[C],20000,Son Goku,Saiyan,Future Trunks Saga,"July 17, 2020",-,2((U)(U)),0,5000
BT10-038,BATTLE,"Son Goku, Warrior That Crossed Time",Blue,Unison Warrior SeriesRise of the Unison Warrior,Common[C],4000,Son Goku,Saiyan,Future Trunks Saga,"July 17, 2020","**[Auto]**  If your Leader Card is a blue Trunks : Future card and you return this card to its owner's hand : At the end of your opponent's turn, if you haven't added life to your hand due to an opponent's attack this turn, choose up to 1 {SSB Son Goku, Hope for Victory} in your hand and play it.
**[Auto]**  If this card is removed from a Battle Area by a skill, choose up to 1 {SSB Son Goku, Hope for Victory} in your hand and place it in your energy.",1((U)),0,5000
BT10-039,BATTLE,"Son Gohan, Accelerated Slam",Blue,Unison Warrior SeriesRise of the Unison Warrior,Common[C],15000,Son Gohan: Future,Saiyan/Earthling,Future Trunks Saga,"July 17, 2020","**[Super Combo]** 
**[Auto]**  If your Leader Card is blue and your life is at 4 or less : When this card is used in a combo, draw 1 card.",2((U)(U)),0,10000
BT10-040,BATTLE,"SSB Vegeta, Blaze of Passion",Blue,Unison Warrior SeriesRise of the Unison Warrior,Uncommon[UC],20000,Vegeta,Saiyan,Future Trunks Saga,"July 17, 2020","**[Permanent]**  During your opponent's turn, if all of your energy is mono-blue and you would reveal this card from your life to add it to your hand, you may place it in your energy in Rest Mode instead. If you do, draw 1 card.
**[Auto]**  At the end of your next turn after you place this card in your energy with this skill, if this card is in your energy, place it in its owner's Drop Area.",3((U)),0,5000
BT10-041,BATTLE,"Vegeta, Savior of the Future",Blue,Unison Warrior SeriesRise of the Unison Warrior,Common[C],5000,Vegeta,Saiyan,Future Trunks Saga,"July 17, 2020","**[Auto]**  Add 1 card from your life to your hand : When this card attacks, it gets +10000 power and **[Double Strike]**  for the turn.",1((U)),0,5000
BT10-042,BATTLE,"Vegeta, Warrior That Crossed Time",Blue,Unison Warrior SeriesRise of the Unison Warrior,Common[C],15000,Vegeta,Saiyan,Future Trunks Saga,"July 17, 2020","**[Unique]** 
**[Counter Attack]**  Negate the attack and play this card.
**[Permanent]**  During your opponent's turn, if your Leader Card is a blue Trunks : Future card, reduce the energy cost of this card in your hand by 2.",3((U)),0,5000
BT10-043,BATTLE,"SS2 Trunks, for a Brighter Future",Blue,Unison Warrior SeriesRise of the Unison Warrior,Uncommon[UC],20000,Trunks: Future,Saiyan/Earthling,Future Trunks Saga,"July 17, 2020","**[Unique]** 
**[Permanent]**  If you have a blue Unison Card in play, reduce the energy cost of this card in your hand by 2.
**[Auto]**  If your Leader Card is a blue Trunks : Future card : At the end of your opponent's turn, draw 1 card.
**[Activate Battle]** **[Once per turn]** (U)(U) : This card gets +10000 power and **[Triple Strike]**  for the battle.",4((U)(U)),0,5000
BT10-044,BATTLE,"SS Trunks, God-Sealing Technique",Blue,Unison Warrior SeriesRise of the Unison Warrior,Super Rare[SR],15000,Trunks: Future,Saiyan/Earthling,Future Trunks Saga,"July 17, 2020","**[Counter Play]**  You can't activate the **[Counter Play]**  skills of other cards for the turn : You may discard this card from your hand. If you do, the Battle Card being played is returned to its owner's hand instead. If you don't, play this card.
**[Permanent]**  If you have a blue Unison Card with 2 or more markers in play, you can activate this card's **[Counter]**  skill from your hand without paying its energy cost.",5((U)),0,5000
BT10-045,BATTLE,"SSB Vegito, Paralyzing Prowess",Blue,Unison Warrior SeriesRise of the Unison Warrior,Rare[R],35000,Vegito,Saiyan,Future Trunks Saga,"July 17, 2020","**[Deflect]** **[Triple Strike]** **[Barrier]** 
**[EX-Evolve]** (U)(U)(U)(U) : Vegito with an energy cost of 5.
**[Auto]**  If your Leader Card is a blue Trunks : Future card : When this card is played or attacks, your opponent chooses 2 cards in their hand and places them at the bottom of their deck in any order.",8((U)(U)(U)),0,5000
BT10-046,BATTLE,"Vegito, Infinite Radiance",Blue,Unison Warrior SeriesRise of the Unison Warrior,Uncommon[UC],25000,Vegito,Saiyan,Future Trunks Saga,"July 17, 2020","**[Deflect]** **[Barrier]** 
**[Union-Potara]**  Blue Son Goku and blue Vegeta
**[Permanent]**  If you have 4 or more energy, you can choose Battle Cards in your energy when choosing cards to use with this card's **[Union]**  skill from your hand.",5((U)(U)),0,5000
BT10-047,BATTLE,"Bulma, Master Scientist",Blue,Unison Warrior SeriesRise of the Unison Warrior,Common[C],1000,Bulma: Future,Earthling,Future Trunks Saga,"July 17, 2020","**[Permanent]**  During your opponent's turn, if all of your energy is mono-blue, if you would reveal this card from your life to add it to your hand, you may play it instead.
**[Auto]**  When this card is played, look at up to 5 cards from the top of your deck, add up to 1 blue Son Goku, Vegeta, or Trunks : Future card among them to your hand, then shuffle your deck.",2((U)),0,5000
BT10-048,BATTLE,"Mai, Bulwark of the Future",Blue,Unison Warrior SeriesRise of the Unison Warrior,Common[C],4000,Mai: Future,Earthling,Future Trunks Saga,"July 17, 2020","**[Auto]**  When this card is played, look at up to 5 cards from the top of your deck, add up to 1 blue Unison Card with a specified cost of 2 or 1 blue Trunks : Future card among them to your hand, then shuffle your deck.",1((U)),0,5000
BT10-049,BATTLE,Respectful Master Gowasu,Blue,Unison Warrior SeriesRise of the Unison Warrior,Common[C],5000,Gowasu,God,Future Trunks Saga,"July 17, 2020","**[Auto]**  When this card is played, look at up to 7 cards from the top of your deck, add up to 1 blue Zamasu card among them to your hand, then shuffle your deck.",1((U)),0,5000
BT10-050,BATTLE,"Goku Black Rose, Lofty Aspirations",Blue,Unison Warrior SeriesRise of the Unison Warrior,Rare[R],30000,Goku Black,Saiyan/God,Future Trunks Saga,"July 17, 2020","**[Triple Strike]** 
**[EX-Evolve]** (U)(U)(U)**[one]**  : Blue Goku Black.
**[Permanent]**  When choosing a card to use with this card's **[Evolve]**  skill from your hand, you can choose a Battle Card in your energy, then play this card in Active Mode.
**[Auto]**  If your Leader Card is a blue Zamasu or Goku Black card and your opponent has 5 or more energy : When a card evolves into this card, place up to 2 of your opponent's energy in their owners' Drop Areas.",9((U)(U)(U)),0,5000
BT10-051,BATTLE,"Goku Black, Future Decimator",Blue,Unison Warrior SeriesRise of the Unison Warrior,Rare[R],10000,Goku Black,Saiyan/God,Future Trunks Saga,"July 17, 2020","**[Activate Main]**  If your Leader Card is a blue Zamasu or Goku Black card : Place this card in your energy from your hand, and you can't place cards in your energy or play cards other than mono-blue Zamasu or Goku Black cards for the turn; at the end of the turn, if this card is in your energy, place it in its owner's Drop Area.",2((U)),0,5000
BT10-052,BATTLE,"Fused Zamasu, the Divine Immortal",Blue,Unison Warrior SeriesRise of the Unison Warrior,Rare[R],35000,Zamasu,God,Future Trunks Saga,"July 17, 2020","**[Indestructible]** **[Dual Attack]** 
**[EX-Evolve]**  (U)(U)(U)(U) : Blue Zamasu card with an energy cost of 5.
**[Activate: Main/Battle]**  Place this card in its owner's Drop Area : Activate up to 1 {Tragedy Overground} from your hand, Drop Area, deck, or Energy Area, then shuffle your deck if you looked through it.",9((U)(U)(U)(U)),0,5000
BT10-053,BATTLE,"Fused Zamasu, Advocate for Evil",Blue,Unison Warrior SeriesRise of the Unison Warrior,Common[C],24000,Zamasu,God,Future Trunks Saga,"July 17, 2020","**[Indestructible]** 
**[Union-Potara]**  Blue Zamasu and blue Goku Black.
**[Permanent]**  If you have 3 or more energy, you can choose Battle Cards in your energy when choosing cards to use with this card's **[Union]**  skill from your hand.",5((U)),0,5000
BT10-054,BATTLE,"Zamasu, Cosmic Traitor",Blue,Unison Warrior SeriesRise of the Unison Warrior,Common[C],5000,Zamasu,God,Future Trunks Saga,"July 17, 2020","**[Auto]**  If your Leader Card is a blue Zamasu or Goku Black card : When this card is played from your hand, place the top card of your deck in your energy, then at the end of the turn, if the card you placed in your energy with this skill is in your energy, place it in its owner's Drop Area. If the card you placed in your energy with this skill isn't in your energy, place 1 card from your energy in its owner's Drop Area.",1((U)),0,5000
BT10-055,BATTLE,"Zen-Oh, Edge of Space",Blue,Unison Warrior SeriesRise of the Unison Warrior,Uncommon[UC],4000,Zen-Oh,God,Future Trunks Saga,"July 17, 2020","**[Super Combo]** 
**[Auto]**  If your Leader Card is blue, your life is at 5 or less, and it's your opponent's turn : When this card is used in a combo, you may add 1 card from your energy to your hand. If you do, place 1 card from your hand in your energy.
**[Auto]**  When this card is played, draw 1 card.",1((U)),0,10000
BT10-065,BATTLE,"SS Son Goku, Pride of the Saiyans",Green,Unison Warrior SeriesRise of the Unison Warrior,Rare[R],25000,Son Goku,Saiyan,Frieza Saga,"July 17, 2020","**[Double Strike]** 
**[Permanent]**  This card can't be removed from Battle Areas by skills.
**[Auto]**  If there is a Son Goku card with an energy cost of 4 under this card and this card is in Rest Mode : When your opponent plays a Battle Card with an energy cost of 5 or less, they choose 2 cards in their hand and discard them.
**[Auto]**  When this card is played, choose all of your opponent's Battle Cards, ignoring **[Barrier]** , and KO them.",5((G)(G)(G)(G)(G)),0,5000
BT10-066,BATTLE,Intensive Training Son Goku,Green,Unison Warrior SeriesRise of the Unison Warrior,Rare[R],20000,Son Goku,Saiyan,Frieza Saga,"July 17, 2020","**[Deflect]** **[Barrier]** 
**[Activate: Main/Battle]**  If your Leader Card is a green Son Goku card and you send a total of 5 green Son Gohan : Youth , Vegeta, Bulma, Krillin, and/or Piccolo cards from your Drop Area to your Warp : Choose up to 1 mono-green Son Goku card with an energy cost of 5 in your deck or hand, play it on top of this card, then shuffle your deck if you looked through it.",4((G)(G)(G)(G)),0,5000
BT10-067,BATTLE,"Son Gohan, Potential Unlocked",Green,Unison Warrior SeriesRise of the Unison Warrior,Uncommon[UC],4000,Son Gohan: Youth,Saiyan/Earthling,Frieza Saga,"July 17, 2020","**[Unique]** **[Blocker]** 
**[Permanent]**  If your Leader Card is green and you have a green Unison Card with a specified cost of 2 in play, you can play this card from your hand without paying its energy cost.",1((G)),0,5000
BT10-068,BATTLE,"Vegeta, the Lone Prince",Green,Unison Warrior SeriesRise of the Unison Warrior,Common[C],4000,Vegeta,Saiyan,Frieza Saga,"July 17, 2020","**[Super Combo]** 
**[Permanent]**  This card can't be played with skills from any area.
**[Auto]**  If your Leader Card is green and your life is at 4 or less : When this card is used in a combo, draw 1 card.
**[Auto]**  If your Leader Card is mono-green : When this card is played, your opponent chooses 1 card in their hand and discards it.",1((G)),0,10000
BT10-069,BATTLE,Ultimate Power Piccolo,Green,Unison Warrior SeriesRise of the Unison Warrior,Common[C],5000,Piccolo,Namekian,Frieza Saga,"July 17, 2020","**[Auto]**  If your Leader Card is a green Son Goku card : When this card is played, choose one?
 Draw 1 card.
 This card gets +10000 power for the turn.",1((G)),0,5000
BT10-070,BATTLE,"Krillin, Potential Unlocked",Green,Unison Warrior SeriesRise of the Unison Warrior,Rare[R],4000,Krillin,Earthling,Frieza Saga,"July 17, 2020","**[Permanent]**  During your opponent's turn, if your Leader Card is a green Son Goku card and your life is at 4 or less, increase the energy cost of this card in all areas by 3.
**[Auto]**  When this card is played, choose one?
 Look at up to 5 cards from the top of your deck, add up to 1 green Unison Card with a specified cost of 2 among them to your hand, then shuffle your deck.
 This card gains **[Blocker]**  until the start of your next turn.",1((G)),0,5000
BT10-071,BATTLE,"Bulma, Life on Namek",Green,Unison Warrior SeriesRise of the Unison Warrior,Common[C],1000,Bulma,Earthling,Frieza Saga,"July 17, 2020","**[Auto]**  When this card is played, look at up to 5 cards from the top of your deck, add up to 1 green Unison Card with a specified cost of 2 or 1 green Saiyan card with an energy cost of 3 or less among them to your hand, then shuffle your deck.",1((G)),0,5000
BT10-072,BATTLE,"Frieza, Cosmic Horror",Green,Unison Warrior SeriesRise of the Unison Warrior,Uncommon[UC],20000,Frieza,Frieza Clan/Frieza's Army,Frieza Saga,"July 17, 2020","**[Dual Attack]** 
**[Auto]**  When this card is played, choose one?
 Choose up to 1 of your opponent's Battle Cards and KO it.
 Choose up to 1 of your opponent's Unison Cards and remove a marker from it.",4((G)(G)),0,5000
BT10-073,BATTLE,"Frieza, Terrifying Transformation",Green,Unison Warrior SeriesRise of the Unison Warrior,Uncommon[UC],15000,Frieza,Frieza Clan/Frieza's Army,Frieza Saga,"July 17, 2020","**[Auto]**  When this card is removed from your Battle Area by an opponent's skill, draw 2 cards.
**[Activate Main]** (G) : Choose up to 1 green Frieza card with an energy cost of 4 in your hand or Drop Area and play it on top of this card in Active Mode.",2((G)(G)),0,5000
BT10-074,BATTLE,Frieza,Green,Unison Warrior SeriesRise of the Unison Warrior,Common[C],20000,Frieza,Frieza Clan/Frieza's Army,Frieza Saga,"July 17, 2020",-,2((G)(G)),0,5000
BT10-075,BATTLE,"Frieza, Charismatic Villain",Green,Unison Warrior SeriesRise of the Unison Warrior,Super Rare[SR],10000,Frieza,Frieza Clan/Frieza's Army,Frieza Saga,"July 17, 2020","**[Counter Play]**  You can't activate the **[Counter Play]**  skills of other cards for the turn : Play this card from your hand.
**[Permanent]**  When you have a green Unison Card with 2 or more markers in play, you can activate this card's **[Counter]**  skill from your hand without paying its energy cost.
**[Auto]**  When this card is played, choose up to 1 of your opponent's Battle Cards with an energy cost of 7 or less and KO it.",5((G)),0,5000
BT10-076,BATTLE,"Ginyu, Backbone of the Force",Green,Unison Warrior SeriesRise of the Unison Warrior,Common[C],15000,Ginyu,Ginyu Force/Frieza's Army,Frieza Saga,"July 17, 2020","**[Activate Main]**  If you have at least 1Recoome, Jeice, Burter, and Guldo card in play : Play this card from your hand, and you can't play copies of this card for the turn.
**[Auto]**  When this card is played, choose up to 1 of your opponent's Battle Cards and gain control of it; if you gained control of a card, give control of this card to your opponent.",4((G)(G)),0,5000
BT10-077,BATTLE,Ginyu the Bodysnatcher,Green,Unison Warrior SeriesRise of the Unison Warrior,Common[C],20000,Ginyu,Ginyu Force/Frieza's Army,Frieza Saga,"July 17, 2020","**[Double Strike]** 
**[Permanent]**  This card gets -10000 power during your opponent's turn.
**[Activate Main]**  Choose 1 Battle Card you gained control of from your opponent with one of your card's skills and place it in its owner's Drop Area : Play this card from your hand.
**[Auto]**  If your Leader Card is a green Ginyu Force card : When this card is played, choose all green Ginyu Force cards in your Battle Area and they get +10000 power for the turn.",4((G)(G)),0,5000
BT10-078,BATTLE,Recoome the Musclehead,Green,Unison Warrior SeriesRise of the Unison Warrior,Uncommon[UC],15000,Recoome,Ginyu Force/Frieza's Army,Frieza Saga,"July 17, 2020","**[Unique]** 
**[Auto]**  If your Leader Card is a Ginyu Force card : When this card is played, choose up to 1 green Ginyu Force card with an energy cost of 2 in your hand and play it.",2((G)),0,5000
BT10-079,BATTLE,"Jeice, Second in Command",Green,Unison Warrior SeriesRise of the Unison Warrior,Common[C],15000,Jeice,Ginyu Force/Frieza's Army,Frieza Saga,"July 17, 2020","**[Unique]** 
**[Auto]**  When this card attacks, look at up to 3 cards from the top of your deck, add up to 1 Ginyu Force card among them to your hand, then place the remaining cards on the top and/or bottom of your deck in any order.",2((G)),0,5000
BT10-080,BATTLE,"Burter, Fastest in the Universe",Green,Unison Warrior SeriesRise of the Unison Warrior,Common[C],15000,Burter,Ginyu Force/Frieza's Army,Frieza Saga,"July 17, 2020","**[Unique]** **[Blocker]** 
**[Auto]**  At the end of your turn, switch this card to Active Mode, then look at up to 3 cards from the top of your deck and place them on the top and/or bottom of your deck in any order.",2((G)),0,5000
BT10-081,BATTLE,"Guldo, Psycho Psychic",Green,Unison Warrior SeriesRise of the Unison Warrior,Common[C],15000,Guldo,Ginyu Force/Frieza's Army,Frieza Saga,"July 17, 2020","**[Unique]** 
**[Activate Main]**  If your Leader Card is a Ginyu Force card and you discard this card from your hand : Look at up to 3 cards from the top of your deck and place them on the top and/or bottom of your deck in any order.
**[Activate Main]** **[Once per turn]**  Look at up to 5 cards from the top of your deck and place them on the top and/or bottom of your deck in any order.",2((G)),0,5000
BT10-082,BATTLE,"Dodoria, Brimming with Power",Green,Unison Warrior SeriesRise of the Unison Warrior,Rare[R],5000,Dodoria,Frieza's Army,Frieza Saga,"July 17, 2020","**[Counter Play]**  If your Leader Card is mono-green and you have a green Unison Card in play : If the Battle Card being played has an energy cost of 2 or less, it's placed in its owner's Drop Area instead of being played, then play this card.",1((G)),0,5000
BT10-083,BATTLE,Dodoria the Cold-Blooded,Green,Unison Warrior SeriesRise of the Unison Warrior,Common[C],5000,Dodoria,Frieza's Army,Frieza Saga,"July 17, 2020","**[Auto]**  Add 1 card from your life to your hand : When this card attacks, it gets +10000 power and **[Double Strike]**  for the turn.",1((G)),0,5000
BT10-084,BATTLE,"Zarbon, Victory Over Beauty",Green,Unison Warrior SeriesRise of the Unison Warrior,Common[C],20000,Zarbon,Frieza's Army,Frieza Saga,"July 17, 2020","**[Counter Attack]**  Negate the attack and play this card.
**[Auto]**  When this card is played during your opponent's turn, choose up to 1 of your opponent's Battle Cards, KO it, then choose up to 1 card in your opponent's hand and discard it.",3((G)(G)(G)),0,5000
BT10-085,BATTLE,Zarbon the Gorgeous,Green,Unison Warrior SeriesRise of the Unison Warrior,Uncommon[UC],15000,Zarbon,Frieza's Army,Frieza Saga,"July 17, 2020","**[Super Combo]** 
**[Auto]**  If your Leader Card is green and your life is at 4 or less : When this card is used in a combo, draw 1 card.",2((G)(G)),0,10000
BT10-086,BATTLE,"Frieza, Dark Infestation",Green,Unison Warrior SeriesRise of the Unison Warrior,Rare[R],15000,Frieza: Xeno,Frieza Clan/Frieza's Army,Dark Empire Saga,"July 17, 2020","**[Double Strike]** **[Unique]** 
**[Auto]**  If your opponent has 3 or more energy : When this card is removed from a Battle Area by a skill or KO'd, add up to 1 green Extra Card with an energy cost of 1 or less from your Drop Area to your hand.
**[Activate Main]**  Place this card in its owner's Drop Area : Choose up to 1 card in your opponent's hand and discard it.",4((G)),0,5000
BT10-087,BATTLE,Frieza the Power Monger,Green,Unison Warrior SeriesRise of the Unison Warrior,Common[C],15000,Frieza: Xeno,Frieza Clan/Frieza's Army,Dark Empire Saga,"July 17, 2020","**[Deflect]** **[Unique]** 
**[Auto]**  If your opponent has 3 or more energy : When this card is removed from a Battle Area by a skill or KO'd, add up to 1 green Extra Card with an energy cost of 1 or less from your Drop Area to your hand.
**[Activate Battle]** (G)**[two]**  : This card gets +15000 power and **[Double Strike]**  for the battle.",4((G)),0,5000
