id,type2,fname,bname,cname,sname,rname,fplv,bplv,fcname,bcname,fspt,bspt,fename,bename,rdate,fskl,bskl
BT9-021,LEADER,Android 17,"Android 17, Universal Guardian",Blue,Series 9-UNIVERSAL ONSLAUGHT-,Common[C],10000,15000,Android 17,Android 17,Android/Universe 7,Android/Universe 7,Universe Survival Saga,Universe Survival Saga,"February 7, 2020","**[Auto]**  When this card attacks a Leader Card, draw 1 card.
**[Activate Main]** **[Once per turn]**  Choose 1 Universe 7 card in your hand and place it in your Drop Area : Draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may draw 1 card, then choose up to 1 of your energy, switch it to Active Mode, and flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Activate Main]** **[Once per turn]** (R)(U) : Choose up to 1 of your opponent's Battle Cards, return it to its owner's hand, then choose up to 1 Universe 7 card in your Drop Area and add it to your hand.
**[Activate Main]** **[Once per turn]**  If there are 9 or more multicolor Extra Cards and/or Universe 7 cards in your Drop Area : This card gets +5000 power, **[Double Strike]** , and **[Critical]**  for the duration of the turn."
BT9-038,LEADER,Android 20,"Androids 20, 17, & 18, Bionic Renaissance",Green,Series 9-UNIVERSAL ONSLAUGHT-,Common[C],10000,15000,Android 20,Android 20/Android 18/Android 17,Android,Android,Android Cell Saga,Android Cell Saga,"February 7, 2020","**[Activate Main]** **[Once per turn]**  Look at up to 3 cards from the top of your deck, choose up to 1 green or yellow Android card among them, add it to your hand, then place the remaining cards at the bottom of your deck in any order.
**[Awaken]**  When your life is at 4 or less : You may choose up to 2 of your energy, switch them to Active Mode, then flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Activate Main]** **[Once per turn]** (G), if there are no cards in your Battle Area : Choose 1 green or yellow Android card with an energy cost of 3 or less in your Drop Area, and play it in Rest Mode with its skills negated for the duration of the turn."
BT9-053,LEADER,Jiren,"Full-Power Jiren, the Unstoppable",Yellow,Series 9-UNIVERSAL ONSLAUGHT-,Common[C],10000,15000,Jiren,Jiren,Alien/Pride Troopers/Universe 11,Alien/Pride Troopers/Universe 11,Universe Survival Saga,Universe Survival Saga,"February 7, 2020","**[Auto]**  Choose 1 card in your life and add it to your hand : When this card attacks, choose one-
 Draw 1 card and this card gets +5000 power for the duration of the turn.
 Choose up to 1 Universe 11 card in your hand with an energy cost of 2 or less and play it.
**[Awaken]**  When your life is at 4 or less : You may draw 1 card, then choose up to 1 of your energy, switch it to Active Mode, and flip this card over.","**[Auto]**  When this card attacks, draw 1 card and this card gets +5000 power for the duration of the turn.
**[Activate Battle]**  Choose 1 card in your life and add it to your hand : Until the start of your next Main Phase, as long as you have a Universe 11 card in play, you don't take damage from your opponent's attacks."
BT9-070,LEADER,Bibidi,"Majin Buu, One with Nothingness",Black,Series 9-UNIVERSAL ONSLAUGHT-,Common[C],10000,15000,Evil Wizard Bibidi,Majin Buu,Evil Wizard,Majin,Majin Buu Saga,Majin Buu Saga,"February 7, 2020","**[Auto]**  When this card attacks, draw 1 card and this card gets +5000 power for the duration of the turn.
**[Awaken]**  When you have no cards in your hand : You may draw 3 cards, choose 2 cards in your life and add them to your hand, then flip this card over.","**[Auto]**  If you have no cards in your hand : At the end of your turn, draw 5 cards.
**[Activate Main]**  Choose 1 card in your hand and place it in your Drop Area : Choose one-
 Choose 1 of your opponent's Battle Cards with an energy cost of 3 or less and place it under this card.
 This card gets +5000 power for the duration of the turn."
BT9-100,LEADER,Son Goku,"Ultra Instinct Son Goku, Limits Surpassed",Red/Blue,Series 9-UNIVERSAL ONSLAUGHT-,Uncommon[UC],10000,15000,Son Goku,Son Goku,Saiyan/Universe 7,Saiyan/Universe 7,Universe Survival Saga,Universe Survival Saga,"February 7, 2020","**[Activate Battle]**  When this card is in a battle, choose 1 Extra Card in your hand and place it in your Drop Area : Choose up to 1 card in your life and add it to your hand, draw 1 card, then this card gets +5000 power and this skill is negated for the duration of the battle.
**[Awaken: Surge]**  Choose 1 red card and 1 blue card in your hand and place them under this card : You may draw 3 cards, then choose up to 1 of your energy, switch it to Active Mode, and flip this card over.","**[Activate: Main/Battle]** **[Once per turn]**  If your life is at 5 or less and you choose 1 card under this card and place it in its owner's Drop Area : Choose one-
 If you have a Universe 7 card in play, draw 1 card, then your opponent reveals their hand. Choose up to 1 Extra Card or Battle Card with 35000 power or less from it and place it in their Drop Area.
 Choose up to 3 multicolor Extra Cards with different names in your Drop Area and/or Warp and add them to your hand."
BT9-112,LEADER,Cell,"Cell, Perfection Surpassed",Green/Yellow,Series 9-UNIVERSAL ONSLAUGHT-,Uncommon[UC],10000,15000,Cell,Cell,Android,Android,Android Cell Saga,Android Cell Saga,"February 7, 2020","**[Activate Main]** **[Once per turn]**  Look at up to 5 cards from the top of your deck, choose up to 1 card among them, add it to your hand, shuffle your deck, and if you added a card to your hand, choose 1 card in your hand and place it in your Drop Area.
**[Awaken: Surge]**  Choose 1 green card and 1 yellow card from your hand and place them under this card : You may draw 2 cards, then choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Activate Main]** **[Once per turn]**  If your life is at 4 or less, choose 1 card under this card and place it in its owner's Drop Area : Choose one-
 Until the start of your next Main Phase, if your opponent plays a Battle Card, it is played in Rest Mode.
 Choose up to 1 of your opponent's Battle Cards, KO it, then choose 1 card in your opponent's hand and place it in their Drop Area."
BT9-125,LEADER,Hit,Assassin Hit Returns,Red,Series 9-UNIVERSAL ONSLAUGHT-,Reboot Leader Rare[RLR],10000,15000,Hit,Hit,Alien,Alien,Champa Saga,Champa Saga,"February 7, 2020","**[Auto]**  When this card attacks a Leader Card, draw 1 card and this card gets +5000 power for the duration of the turn.
**[Awaken]**  When your life is at 4 or less : You may draw 1 card, choose up to 1 of your energy and switch it to Active Mode, then flip this card over.","**[Auto]**  When this card attacks, draw 1 card, this card gets +5000 power for the duration of the turn, then choose up to 1 skill-less Battle Card in your Drop Area with an energy cost of 2 or less and play it.
**[Activate: Main/Battle]** **[Once per turn]**  Choose 1 card in your hand and place it in your Drop Area : Choose up to 1 of your opponent's Battle Cards with **[Double Strike]** , **[Critical]** , or **[Blocker]**  and KO it."
BT9-126,LEADER,Beerus,"Beerus, God of Destruction Returns",Blue,Series 9-UNIVERSAL ONSLAUGHT-,Reboot Leader Rare[RLR],10000,15000,Beerus,Beerus,God,God,Battle of Gods Saga,Battle of Gods Saga,"February 7, 2020","**[Auto]**  When this card attacks a Leader Card, choose one-
 Choose up to 1 of your opponent's Battle Cards with an energy cost of 2 or less and KO it.
 Draw 1 card.
**[Awaken]**  When you have 4 or more energy or your life is at 4 or less : You may draw 1 card, choose up to 1 of your energy and switch it to Active Mode, then flip this card over.","**[Permanent]**  When your opponent's life is at 4 or less, any time this card would deal damage to your opponent, choose up to 1 card in your Drop Area and place it in your energy in Rest Mode instead.
**[Auto]**  When this card attacks, choose one-
 Choose up to 1 of your opponent's Battle Cards with an energy cost of 3 or less and KO it.
 Draw 1 card.
**[Activate Main]** **[sixteen]**  : You win the game."
BT9-127,LEADER,Son Goku,Heightened Evolution SS3 Son Goku Returns,Blue,Series 9-UNIVERSAL ONSLAUGHT-,Reboot Leader Rare[RLR],10000,15000,Son Goku,Son Goku,Saiyan,Saiyan,Majin Buu Saga,Majin Buu Saga,"February 7, 2020","**[Permanent]**  You can only place up to 6 energy in your Energy Area.
**[Auto]**  Choose 1 card in your hand and place it at the bottom of your deck : When this card attacks, choose 1 card in your life and place it in your energy in Rest Mode.
**[Awaken]**  When your life is at 4 or less : You may draw 1 card and flip this card over.","**[Permanent]**  You can only place up to 6 energy in your Energy Area.
**[Auto]**  When this card attacks, draw 1 card and this card gets +5000 power for the duration of the turn.
**[Auto]**  At the end of your turn, choose up to 3 of your mono-blue energy and switch them to Active Mode."
BT9-128,LEADER,Son Gohan,Father-Son Kamehameha Goku & Gohan Return,Green,Series 9-UNIVERSAL ONSLAUGHT-,Reboot Leader Rare[RLR],10000,15000,Son Gohan: Childhood,Son Goku/Son Gohan: Childhood,Saiyan/Earthling,Saiyan/Earthling,Android Cell Saga,Android Cell Saga,"February 7, 2020","**[Auto]** **[Once per turn]**  Choose 1 or 2 cards in your life and add them to your hand : When this card attacks, switch this card to Active Mode.
**[Awaken]**  When your life is at 3 or less : You may draw 2 cards, choose up to 1 of your energy and switch it to Active Mode, then flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Activate Battle]** **[Once per turn]**  During your turn, choose 1 card in your life and place it in your Drop Area : This card gets +10000 power and **[Triple Strike]**  for the duration of the turn.
**[Activate Main]** **[Once per turn]**  Switch this card to Active Mode. At the end of this turn, you lose the game."
BT9-129,LEADER,Meta-Cooler,Nucleus of Evil Meta-Cooler Core Returns,Yellow,Series 9-UNIVERSAL ONSLAUGHT-,Reboot Leader Rare[RLR],10000,15000,Meta-Cooler,Meta-Cooler/Meta-Cooler Core,Frieza Clan,Frieza Clan,Meta-Cooler Saga,Meta-Cooler Saga,"February 7, 2020","**[Auto]**  When this card is placed in your Leader Area, choose up to 1 {Big Gete Star} in your deck and activate it.
**[Awaken]**  When you have 2 or more Frieza Clan cards in play : You may draw 2 cards and flip this card over.","**[Auto]**  When this card attacks, place up to 3 cards from the top of your deck in your Drop Area, then choose up to 1 Meta-Cooler or Meta-Cooler Core card in your Drop Area and add it to your hand.
**[Activate Main]** **[Once per turn]**  If you have 2 or more Frieza Clan cards in play : Choose 1 of your opponent's Battle Cards, switch it to Rest Mode, and it can't be switched to Active Mode during your opponent's next Charge Phase.
**[Activate Battle]** **[Once per turn]**  Choose up to 1 Meta-Cooler card in your Battle Area and it gets +5000 power for the duration of the turn."
BT8-001,LEADER,Bulma,"Bulma, Familial Bonds",Red,Series 8-MALICIOUS MACHINATIONS-,Common[C],5000,10000,Bulma,Bulma,Earthling,Earthling,Battle of Gods Saga,Battle of Gods Saga,"November 15, 2019","**[Permanent]**  All red and yellow Saiyan and Earthling cards in your Battle Area gain **[Blocker]** . 
**[Activate Main]** **[Once per turn]**  Draw 1 card. 
**[Awaken]**  When your life is at 4 or less : You may choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Permanent]**  All red and yellow Saiyan and Earthling cards in your Battle Area gain **[Blocker]** . 
**[Activate Main]** **[Once per turn]**  Draw 2 cards."
BT8-002,LEADER,Beerus,"Beerus, Furious Strike",Red,Series 8-MALICIOUS MACHINATIONS-,Uncommon[UC],10000,15000,Beerus,Beerus,God,God,Battle of Gods Saga,Battle of Gods Saga,"November 15, 2019","**[Activate Main]** **[Once per turn]**  Choose 1 red or yellow card from your hand and place it in your Drop Area : Draw 2 cards. 
**[Awaken]**  When your life is at 4 or less : You may choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Activate Main]** **[Once per turn]** (R)(Y) : Choose 1 of your opponent's Battle Cards and KO it. 
**[Activate Battle]** **[Once per turn]**  Choose 1 Red/Yellow multicolor card in your Drop Area and combo with it."
BT8-023,LEADER,Android 18,Dependable Sister Android 18,Blue,Series 8-MALICIOUS MACHINATIONS-,Common[C],10000,15000,Android 18,Android 18,Android,Android,Special,Special,"November 15, 2019","**[Auto]**  When you place this card in your Leader Area, choose up to 1 {Android 21's Scheme} from your deck and activate it. 
**[Activate Main]** **[Once per turn]**  Choose 1 Clone Token in your opponent's Battle Area and remove it from the game : Draw 1 card, choose 1 card in your life and add it to your hand, then choose up to 1 of your opponent's Battle Cards with an energy cost of 1 and return it to its owner's hand. 
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Auto]**  When this card attacks, draw 1 card. 
**[Activate Main]** **[Once per turn]**  Choose 1 Clone Token in your opponent's Battle Area and remove it from the game : Choose up to 1 of your opponent's Battle Cards with an energy cost of 1, return it to its owner's hand, then reduce the combo cost of all blue and green cards in your hand and Battle Area by 1 for the duration of the turn."
BT8-024,LEADER,Android 21,"Android 21, Malevolence Unbound",Blue,Series 8-MALICIOUS MACHINATIONS-,Uncommon[UC],10000,15000,Android 21,Android 21,Android/Scientist,Android/Scientist,Special,Special,"November 15, 2019","**[Auto]**  When you place this card in your Leader Area, choose up to 1 {Android 21's Scheme} from your deck and activate it. 
**[Activate Main]** **[Once per turn]**  Choose 1 Clone Token in your opponent's Battle Area and remove it from the game : Draw 1 card, then choose up to 1 of your opponent's Battle Cards with an energy cost of 1 and return it to its owner's hand, then at the start of your opponent's next Main Phase, choose up to 1 Blue/Green multicolor card in your energy and switch it to Active Mode.
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Activate Main]** **[Once per turn]**  Choose 1 Clone Token in your opponent's Battle Area and remove it from the game : Draw 1 card, then choose up to 1 of your opponent's Battle Cards with an energy cost of 1 and return it to its owner's hand, then at the start of your opponent's next Main Phase, choose up to 1 Blue/Green multicolor card in your energy and switch it to Active Mode."
BT8-044,LEADER,Son Goku,"Kaio-Ken Son Goku, Turning the Tide",Green,Series 8-MALICIOUS MACHINATIONS-,Common[C],10000,15000,Son Goku,Son Goku,Saiyan,Saiyan,Dr.Uiro Saga,Dr.Uiro Saga,"November 15, 2019","**[Auto]**  When this card attacks a Leader Card, draw 1 card. 
**[Auto]** **[Once per turn]**  When one of your Battle Cards activates **[Revive]** , draw 1 card. 
**[Awaken]**  When your life is at 4 or less : You may draw 1 card, then choose up to 1 of your energy, switch it to Active Mode, and flip this card over.","**[Auto]**  When this card attacks, draw 1 card. 
**[Auto]** **[Once per turn]**  When one of your Battle Cards activates **[Revive]** , draw 2 cards. 
**[Activate Main]** **[Once per turn]**  Choose 1 of your Blue/Green multicolor Battle Cards in Rest Mode, and until the start of your next Main Phase, as long as the chosen card is in Rest Mode, your opponent's cards can't attack Leader Cards."
BT8-045,LEADER,Dr.Uiro & Dr.Kochin,"Dr.Uiro, the Evil Scientist",Green,Series 8-MALICIOUS MACHINATIONS-,Uncommon[UC],10000,15000,Dr.Uiro/Dr.Kochin,Dr.Uiro,Scientist,Scientist,Dr.Uiro Saga,Dr.Uiro Saga,"November 15, 2019","**[Auto]**  When you place this card in your Leader Area, choose up to 1 {Dr.Uiro's Lab} from your deck and activate it. 
**[Auto]**  When this card attacks a Leader Card, look at up to 7 cards from the top of your deck, choose up to 1 Frenzied Warrior card among them, add it to your hand, then shuffle your deck. 
**[Awaken]**  When you have 4 or more energy or your life is at 3 or less : You may choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Auto]**  When this card attacks, draw 1 card. 
**[Activate Main]** **[Once per turn]**  Choose 1 card in your hand and place it in your Drop Area : Choose up to 1 keyword skill on 1 of your opponent's Battle Cards and negate it for the duration of the turn. 
**[Activate Main]**  If a {Dr.Uiro's Lab} in your Battle Area has 17 or more cards under it : You win the game."
BT8-066,LEADER,Son Goku & Pan,"SS4 Son Goku, Senses Regained",Yellow,Series 8-MALICIOUS MACHINATIONS-,Common[C],10000,15000,Son Goku: GT/Pan,Son Goku: GT,Saiyan/Earthling/Great Ape,Saiyan,Baby Saga,Baby Saga,"November 15, 2019","**[Activate Main]** **[Once per turn]**  Choose 2 cards in your life and add them to your hand : Choose up to 1 of your Battle Cards and it gains **[Double Strike]**  for the duration of the turn.
**[Awaken]**  When your life is at 2 or less : You may draw 2 cards, then choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Double Strike]**  (This card inflicts 2 damage instead of 1 when attacking.)
**[Activate Main]** **[Once per turn]**  Choose 1 card in your life and add it to your hand : Switch this card to Active Mode."
BT8-067,LEADER,Super Baby 1,"Super Baby 2, Awakened Malevolence",Yellow,Series 8-MALICIOUS MACHINATIONS-,Uncommon[UC],10000,10000,Baby/Vegeta: GT,Baby/Vegeta: GT,Machine Mutant/Saiyan,Machine Mutant/Saiyan,Baby Saga,Baby Saga,"November 15, 2019","**[Activate Main]** **[Once per turn]**  Choose 2 cards in your life and add them to your hand : Look at up to 3 cards from the top of your deck, choose up to 1 Baby or Brainwashed card among them, add it to your hand, then place the remaining cards at the bottom of your deck in any order.
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Auto]** **[Once per turn]**  When the power of your opponent's Leader Card is reduced to 0 or less, this card gains **[Triple Attack]**  for the duration of the turn.
**[Activate Main]** **[Once per turn]**  Choose up to 1 Brainwashed card in your hand and play it."
BT8-089,LEADER,Dr.Lychee & Hatchhyack,"Hatchhyack, Malice Assimilated",Black,Series 8-MALICIOUS MACHINATIONS-,Uncommon[UC],10000,15000,Dr.Lychee/Hatchhyack,Hatchhyack,Scientist/Ghost Warrior/Machine Mutant,Machine Mutant,Hatchhyack Saga,Hatchhyack Saga,"November 15, 2019","**[Permanent]**  You can only play black Battle Cards and this card can't attack.
**[Auto]**  When a Battle Card attacks, the player who attacked can't attack with tokens or Battle Cards with energy costs of 7 or less other than the card they attacked with for the duration of the turn.
**[Activate Main]** **[Once per turn]**  Place the top card of your deck under this card : Place the top card of your deck in your Drop Area, then draw 1 card.
**[Awaken]**  If you only have black cards in your energy, choose 3 cards under this card and place them in their owners' Drop Areas : You may draw 1 card and flip this card over.","**[Permanent]**  You can only play black Battle Cards.
**[Auto]**  When a Battle Card attacks, the player who attacked can't attack with tokens or Battle Cards with energy costs of 7 or less other than the card they attacked with for the duration of the turn.
**[Auto]**  When this card attacks, this card gets +5000 power for the duration of the turn, and you draw 1 card."
BT7-001,LEADER,Son Gohan,"Son Gohan & Son Goten, Brotherly Bonds",Red,Series7ï½ASSAULT OF THE SAIYANSï½,Common[C],10000,15000,Son Gohan: Adolescence,Son Gohan : Adolescence/Son Goten,Saiyan/Earthling,Saiyan/Earthling,Broly Saga,Broly Saga,"July 26, 2019","**[Activate Main]** **[Once per turn]** **[Burst 2]**  (You must place the top 2 cards of your deck in your Drop Area to activate this skill.) Choose 1 card in your life and add it to your hand : If your opponent has 5 or more life, deal 1 damage to your opponent.
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Auto]** **[Sparking 5]**  (This skill takes effect when you have 5 or more cards in your Drop Area.) When this card attacks, draw 1 card.
**[Auto]** **[Once per turn]**  When one of your Battle Cards activates **[Alliance]** , choose up to 1 of your opponent's Battle Cards with 30000 power or less and KO it.
**[Activate Main]** **[Once per turn]** **[Sparking 5]**  Choose 3 cards in your hand and place them in your Drop Area : Choose all of your red and green Battle Cards, then both the chosen cards and this card get +10000 power for the duration of the turn."
BT7-001_PR,LEADER,Son Gohan,"Son Gohan & Son Goten, Brotherly Bonds",Red,Series7ï½ASSAULT OF THE SAIYANSï½,Common[C],10000,15000,Son Gohan: Adolescence,Son Gohan : Adolescence/Son Goten,Saiyan/Earthling,Saiyan/Earthling,Broly Saga,Broly Saga,"July 26, 2019","**[Activate Main]** **[Once per turn]** **[Burst 2]**  (You must place the top 2 cards of your deck in your Drop Area to activate this skill.) Choose 1 card in your life and add it to your hand : If your opponent has 5 or more life, deal 1 damage to your opponent.
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Auto]** **[Sparking 5]**  (This skill takes effect when you have 5 or more cards in your Drop Area.) When this card attacks, draw 1 card.
**[Auto]** **[Once per turn]**  When one of your Battle Cards activates **[Alliance]** , choose up to 1 of your opponent's Battle Cards with 30000 power or less and KO it.
**[Activate Main]** **[Once per turn]** **[Sparking 5]**  Choose 3 cards in your hand and place them in your Drop Area : Choose all of your red and green Battle Cards, then both the chosen cards and this card get +10000 power for the duration of the turn."
