id,type2,fname,cname,sname,rname,rdate,fskl,energy
BT10-122,EXTRA,Burning Kamehameha,Yellow,Unison Warrior SeriesRise of the Unison Warrior,Common[C],"July 17, 2020","**[Permanent]**  If your Leader Card is yellow and you have a yellow Unison Card in play, reduce the energy cost of this card in your hand by 1.
**[Activate Main]**  If your opponent has 4 or more cards in Rest Mode : Choose 1 of your opponent's Battle Cards in Rest Mode and KO it.",2((Y))
BT10-123,EXTRA,Released from Evil,Yellow,Unison Warrior SeriesRise of the Unison Warrior,Super Rare[SR],"July 17, 2020","**[Counter Attack]**  If your Leader Card is mono-yellow : Choose the attacking card, ignoring **[Barrier]** , negate its skills for the turn, and it can't be switched to Active Mode until the start of your next turn.
**[Permanent]**  If you have a yellow Unison Card in play, you can activate this card's **[Counter]**  skill from your hand without paying its energy cost.",1((Y))
BT10-124,EXTRA,"Two-Star Ball, Parasitic Darkness",Yellow,Unison Warrior SeriesRise of the Unison Warrior,Common[C],"July 17, 2020","**[Permanent]**  This card gains Dark Dragon Ball in all areas.
**[Activate Battle]**  Choose 1 of your cards and it gets +5000 power for the battle.
**[Activate Main]**  Choose 1 of your Cell cards with an energy cost of 7 or 9 and place this card under it : Choose up to 1 green Cell : Xeno card with an energy cost of 9 in your deck or hand, play it, then shuffle your deck if you looked through it.",0(-)
BT10-142,EXTRA,Burning Impact,Black,Unison Warrior SeriesRise of the Unison Warrior,Rare[R],"July 17, 2020","**[Counter Attack]**  Shuffle 2 Battle Cards from your opponent's Drop Area into their deck.
**[Permanent]**  If you have a Unison Card in play, you can activate this card's **[Counter]**  skill from your hand without paying its energy cost.",1(-)
BT9-017,EXTRA,Cease to Exist,Red,Series 9-UNIVERSAL ONSLAUGHT-,Rare[R],"February 7, 2020","**[Permanent]**  You can activate this card's **[Activate Battle]**  from your hand without paying its energy cost.
**[Activate Main]**  If your Leader Card is red : Choose up to 2 of your opponent's Battle Cards, ignoring **[Barrier]** , and they get -25000 power for the duration of the turn.
**[Activate Battle]**  Choose up to 1 of your Leader Cards or Battle Cards and it gets +5000 power for the duration of the battle.",3((R)(R))
BT9-018,EXTRA,We Are Universe 7,Red,Series 9-UNIVERSAL ONSLAUGHT-,Uncommon[UC],"February 7, 2020","**[Activate Main]**  Choose one-
 Choose up to 1 Universe 7 card from your Drop Area and add it to your hand.
 Choose up to 1 Universe 7 card with an energy cost of 4 or less from your deck, add it to your hand, then shuffle your deck.",1((R))
BT9-019,EXTRA,Thought I Was Finished?,Red,Series 9-UNIVERSAL ONSLAUGHT-,Common[C],"February 7, 2020",**[Activate Main]**  If your Leader Card is a Frieza Clan card : Choose 1 of your opponent's Battle Cards and it gets -15000 power for the duration of the turn.,1((R))
BT9-020,EXTRA,You're Mine!,Red,Series 9-UNIVERSAL ONSLAUGHT-,Common[C],"February 7, 2020","**[Counter Play]**  When the Battle Card is played, choose up to 2 of your opponent's Battle Cards and they get -5000 power for the duration of the turn.",1((R))
BT9-035,EXTRA,Chaos Beam Volley,Blue,Series 9-UNIVERSAL ONSLAUGHT-,Common[C],"February 7, 2020","**[Counter Play]**  If your Leader Card is a Frieza Clan card : If the Battle Card being played has an energy cost of 3 or less, it is returned to its owner's hand instead of being played, then your opponent places 2 cards from the top of their deck in their Drop Area.",2((U))
BT9-036,EXTRA,Barrier of Hope,Blue,Series 9-UNIVERSAL ONSLAUGHT-,Rare[R],"February 7, 2020","**[Permanent]**  You can activate this card's **[Activate Battle]**  from your hand without paying its energy cost.
**[Activate Main]**  If your Leader Card is blue : Choose up to 1 of your opponent's Battle Cards, ignoring **[Barrier]** , return it to its owner's hand, then draw 2 cards.
**[Activate Battle]**  Choose up to 1 of your Leader Cards or Battle Cards and it gets +5000 power for the duration of the battle.",3((U)(U))
BT9-037,EXTRA,Tournament of Power Arena,Blue,Series 9-UNIVERSAL ONSLAUGHT-,Uncommon[UC],"February 7, 2020","**[Field]** 
**[Permanent]**  If your Leader Card is a Universe 7 card, negate the **[Energy-Exhaust]**  of your Red/Blue multicolor cards in all areas.
**[Activate Main]**  If your Leader Card is a Universe 7 card and you switch this card to Rest Mode : Look at up to 3 cards from the top of your deck, then place them on the top or bottom of your deck in any order.",1((U))
BT9-051,EXTRA,Artificial Impact,Green,Series 9-UNIVERSAL ONSLAUGHT-,Rare[R],"February 7, 2020","**[Permanent]**  You can activate this card's **[Activate Battle]**  from your hand without paying its energy cost.
**[Activate Main]**  If your Leader Card is green : Choose up to 1 of your opponent's Battle Cards, ignoring **[Barrier]** , KO it, then choose 1 card in your opponent's hand and place it in their Drop Area.
**[Activate Battle]**  Choose up to 1 of your Leader Cards or Battle Cards and it gets +5000 power for the duration of the battle.",3((G))
BT9-052,EXTRA,Flash Bomber,Green,Series 9-UNIVERSAL ONSLAUGHT-,Uncommon[UC],"February 7, 2020",**[Activate Battle]**  Choose up to 1 Android card in your Battle Area and it gets +10000 power and **[Critical]**  for the duration of the battle.,1((G))
BT9-067,EXTRA,Justice Blast,Yellow,Series 9-UNIVERSAL ONSLAUGHT-,Rare[R],"February 7, 2020","**[Permanent]**  You can activate this card's **[Activate Battle]**  from your hand without paying its energy cost.
**[Activate Main]**  If your Leader Card is yellow : Choose up to 1 of your opponent's Battle Cards in Rest Mode, ignoring **[Barrier]** , negate its skills for the duration of the turn, then KO it.
**[Activate Battle]**  Choose up to 1 of your Leader Cards or Battle Cards and it gets +5000 power for the duration of the battle.",3((Y)(Y))
BT9-068,EXTRA,Light Bullet,Yellow,Series 9-UNIVERSAL ONSLAUGHT-,Common[C],"February 7, 2020","**[Counter Attack]**  Negate the attack, then you may choose 2 of your Battle Cards and switch them to Rest Mode. If you switched 2 Battle Cards to Rest Mode, your opponent can only attack with Battle Cards one more time for the duration of the turn.",1((Y))
BT9-069,EXTRA,Mind Expansion,Yellow,Series 9-UNIVERSAL ONSLAUGHT-,Uncommon[UC],"February 7, 2020",**[Activate Battle]**  If your Leader Card is a Universe 11 card : Choose 1 of your Leader Cards and it gets +10000 power and **[Critical]**  for the duration of the battle.,1((Y))
BT9-085,EXTRA,Capricious Onslaught,Black,Series 9-UNIVERSAL ONSLAUGHT-,Uncommon[UC],"February 7, 2020","**[Activate Battle]**  Choose up to 1 of your Leader Cards or Battle Cards and it gets +10000 power for the duration of the battle; then, if it's your turn, choose up to 1 of your opponent's Battle Cards and place it under a Majin Buu card in your Battle Area.",1(-)
BT9-086,EXTRA,Demonic Absorption,Black,Series 9-UNIVERSAL ONSLAUGHT-,Rare[R],"February 7, 2020","**[Permanent]**  You can activate this card's **[Activate Battle]**  from your hand without paying its energy cost.
**[Activate Main]**  If your Leader Card is black : Choose up to 1 of your opponent's Battle Cards, ignoring **[Barrier]** , and send it to its owner's Warp.
**[Activate Battle]**  Choose up to 1 of your Leader Cards or Battle Cards and it gets +5000 power for the duration of the battle.",3(-)
BT9-087,EXTRA,Petrification,Black,Series 9-UNIVERSAL ONSLAUGHT-,Uncommon[UC],"February 7, 2020","**[Counter Attack]**  If your Leader Card is black : Negate the attack, and you may choose 1 card from your hand and place it in your Drop Area. If you placed a card in your Drop Area, choose up to 1 of your opponent's Battle Cards, ignoring **[Barrier]** , and it can't attack, be placed in your opponent's Combo Area, or activate skills until the end of your next turn.",1(-)
BT9-088,EXTRA,Divine Favor,Black,Series 9-UNIVERSAL ONSLAUGHT-,Common[C],"February 7, 2020","**[Permanent]**  This card gains Desire in all areas.
**[Activate Main]**  If your Leader Card is a Shenron card : Choose up to 1 of your opponent's Battle Cards with an energy cost of 3 or less, ignoring **[Barrier]** , and shuffle it into its owner's deck.",3(-)
BT9-089,EXTRA,Unexpected Recovery,Black,Series 9-UNIVERSAL ONSLAUGHT-,Common[C],"February 7, 2020","**[Permanent]**  This card gains Desire in all areas.
**[Activate Main]**  If your Leader Card is a Shenron card : Choose up to 1 of your Battle Cards with an energy cost of 2 and 15000 power, switch it to Active Mode, and it gets +5000 power for the duration of the turn.",2(-)
BT9-108,EXTRA,Tyranny's Cost,Red/Blue,Series 9-UNIVERSAL ONSLAUGHT-,Common[C],"February 7, 2020","**[Energy-Exhaust]** 
**[Activate Main]**  Draw 2 cards; if your opponent has 11 or more cards in their hand, they choose cards in their hand and shuffle them into their deck until they have 10 cards in their hand.",2((R)(U))
BT9-109,EXTRA,Emperor's Death Beam,Red/Blue,Series 9-UNIVERSAL ONSLAUGHT-,Rare[R],"February 7, 2020","**[Energy-Exhaust]** 
**[Activate: Main/Battle]**  Choose up to 1 of your opponent's Battle Cards, ignoring **[Barrier]** , and it gets -30000 power for the duration of the turn.
**[Activate Main]**  Send this card from your Drop Area to your Warp : Look at the top card of your deck; if it's a multicolor Extra Card, you may add it to your hand; otherwise, place it on top of your deck.",3((R)(R)(U))
BT9-110,EXTRA,Royal Condemnation,Red/Blue,Series 9-UNIVERSAL ONSLAUGHT-,Super Rare[SR],"February 7, 2020","**[Energy-Exhaust]** 
**[Counter Play]**  If your Leader Card is a Universe 7 card : If the Battle Card being played has an energy cost of 8 or less, it is placed at the bottom of its owner's deck instead of being played.
**[Activate Main]**  Send this card from your Drop Area to your Warp : Look at the top card of your deck; if it's a multicolor Extra Card, you may add it to your hand; otherwise, place it on top of your deck.",4((R)(R)(U)(U))
BT9-110_SPR,EXTRA,Royal Condemnation,Red/Blue,Series 9-UNIVERSAL ONSLAUGHT-,Special Rare[SPR],"February 7, 2020","**[Energy-Exhaust]** 
**[Counter Play]**  If your Leader Card is a Universe 7 card : If the Battle Card being played has an energy cost of 8 or less, it is placed at the bottom of its owner's deck instead of being played.
**[Activate Main]**  Send this card from your Drop Area to your Warp : Look at the top card of your deck; if it's a multicolor Extra Card, you may add it to your hand; otherwise, place it on top of your deck.",4((R)(R)(U)(U))
BT9-111,EXTRA,Catastrophic Blow,Red/Blue,Series 9-UNIVERSAL ONSLAUGHT-,Super Rare[SR],"February 7, 2020","**[Energy-Exhaust]** 
**[Activate Main]**  If you have a Red/Blue multicolor Son Goku card in play, or there are no Battle Cards in your Battle Area, deal 1 damage to your opponent.
**[Activate Main]**  Send this card from your Drop Area to your Warp : Look at the top card of your deck; if it's a multicolor Extra Card, you may add it to your hand; otherwise, place it on top of your deck.",5((R)(R)(R)(U)(U))
BT9-124,EXTRA,Cell Games Arena,Green/Yellow,Series 9-UNIVERSAL ONSLAUGHT-,Common[C],"February 7, 2020","**[Field]** 
**[Energy-Exhaust]** 
**[Auto]**  Choose 1 of your Cell Jr. tokens and remove it from the game : When one of your Cell cards is removed from your Battle Area by an opponent's skill, choose up to 1 Cell card with an energy cost of 9 or less from your deck or Drop Area, add it to your hand, then choose up to 1 card in your opponent's hand and place it in their Drop Area, and shuffle your deck if you looked through it.",2((G)(Y))
BT9-130,EXTRA,Frieza's Death Ball,Red,Series 9-UNIVERSAL ONSLAUGHT-,Iconic Attack Rare[IAR],"February 7, 2020","**[Activate Battle]**  If your Leader Card is red : Choose up to 1 of your Leader Cards or Battle Cards and it gets +15000 power for the duration of the battle.
**[Auto]**  If all of your energy is red : When you activate this card, choose up to 1 of your opponent's Leader Cards or Battle Cards and it gets -10000 power for the duration of the battle.",1((R))
BT9-131,EXTRA,Ultra Instinct Goku's Kamehameha,Blue,Series 9-UNIVERSAL ONSLAUGHT-,Iconic Attack Rare[IAR],"February 7, 2020","**[Activate Battle]**  If your Leader Card is blue : Choose up to 1 of your Leader Cards or Battle Cards and it gets +15000 power for the duration of the battle.
**[Auto]**  If all of your energy is blue : When you activate this card, choose one-
 If it's your turn, draw 1 card.
 If it's your opponent's turn, choose up to 1 of your blue energy and switch it to Active Mode.",1((U))
BT9-132,EXTRA,Cell's Earth-Destroying Kamehameha,Green,Series 9-UNIVERSAL ONSLAUGHT-,Iconic Attack Rare[IAR],"February 7, 2020","**[Activate Battle]**  If your Leader Card is green : Choose up to 1 of your Leader Cards or Battle Cards and it gets +15000 power for the duration of the battle.
**[Auto]**  If all of your energy is green : When you activate this card, choose 1 card in your opponent's hand and place it in their Drop Area.",1((G))
BT9-133,EXTRA,Vegeta's Final Flash,Yellow,Series 9-UNIVERSAL ONSLAUGHT-,Iconic Attack Rare[IAR],"February 7, 2020","**[Activate Battle]**  If your Leader Card is yellow : Choose up to 1 of your Leader Cards or Battle Cards and it gets +15000 power for the duration of the battle.
**[Auto]**  If all of your energy is yellow : When you activate this card, choose up to 1 of your opponent's Battle Cards, ignoring **[Barrier]** , and negate its skills for the duration of the turn.",1((Y))
BT9-134,EXTRA,Majin Buu's Human Extinction Attack,Black,Series 9-UNIVERSAL ONSLAUGHT-,Iconic Attack Rare[IAR],"February 7, 2020","**[Activate Battle]**  If your Leader Card is black : Choose up to 1 of your Leader Cards or Battle Cards and it gets +15000 power for the duration of the battle.
**[Auto]**  If all of your energy is black : When you activate this card, choose up to 1 Battle Card in your opponent's Drop Area, send it to their Warp, then place up to 4 cards from the top of your deck in your Drop Area.",1(-)
BT8-019,EXTRA,Birth of a Super Saiyan God,Red,Series 8-MALICIOUS MACHINATIONS-,Common[C],"November 15, 2019","**[Permanent]**  This card gains Desire in all areas. 
**[Activate Main]**  Choose 1 red or yellow Saiyan or Earthling card with an energy cost of 2 or less in your Drop Area and play it. If you played a card, place the top 2 cards of your deck in your Drop Area.",2((R))
BT8-020,EXTRA,Birthday Party,Red,Series 8-MALICIOUS MACHINATIONS-,Common[C],"November 15, 2019","**[Field]**  (Place and activate this card in your Battle Area. It remains in your Battle Area until you activate another **[Field]** . When you do, place this card in its owner's Drop Area.)
**[Permanent]**  If you have a Red/Yellow multicolor card in your energy, you can activate this card from your hand without paying its energy cost. 
**[Auto]**  If your Leader Card is a red Bulma card : At the end of your turn, draw 2 cards, then choose 2 cards in your hand and place them in your Drop Area.",3((R))
BT8-021,EXTRA,Flaming Death Ball,Red,Series 8-MALICIOUS MACHINATIONS-,Common[C],"November 15, 2019","**[Activate Battle]**  If your Leader Card is a Baby card, it gets +10000 power for the duration of the battle, then choose one-
 Choose up to 1 of your opponent's Battle Cards and it gets -10000 power for the duration of the turn. 
 Choose up to 1 of your Battle Cards and it gets +10000 power for the duration of the turn.",1((R))
BT8-022,EXTRA,Beerus Ball,Red,Series 8-MALICIOUS MACHINATIONS-,Uncommon[UC],"November 15, 2019","**[Counter Play]**  If your Leader Card is red and your life is at 4 or less : If the Battle Card being played has 15000 power or less, it is placed in its owner's Drop Area instead of being played, and if it's your opponent's turn, choose up to 1 of your Leader Cards and it gets +5000 power for the duration of the turn.
**[Permanent]**  If you have a multicolor card in your energy and your life is at 4 or less, you can activate this card's **[Counter]**  skill from your hand by adding a card from your life to your hand instead of paying its energy cost.",1((R))
BT8-022_SPR,EXTRA,Beerus Ball,Red,Series 8-MALICIOUS MACHINATIONS-,Special Rare[SPR],"November 15, 2019","**[Counter Play]**  If your Leader Card is red and your life is at 4 or less : If the Battle Card being played has 15000 power or less, it is placed in its owner's Drop Area instead of being played, and if it's your opponent's turn, choose up to 1 of your Leader Cards and it gets +5000 power for the duration of the turn.
**[Permanent]**  If you have a multicolor card in your energy and your life is at 4 or less, you can activate this card's **[Counter]**  skill from your hand by adding a card from your life to your hand instead of paying its energy cost.",1((R))
BT8-040,EXTRA,Dr.Uiro's Lab,Blue,Series 8-MALICIOUS MACHINATIONS-,Common[C],"November 15, 2019","**[Field]** 
**[Permanent]**  Your Battle Cards can't be switched to Rest Mode by your opponent's card skills, and you can only use blue or green card skills to place cards under this card. 
**[Permanent]**  This card can't be removed from a Battle Area by your opponent's card skills. 
**[Activate Main]** **[two]**  : Choose 1 of your opponent's Battle Cards with an energy cost of 4 or less and place it under this card.",6((U)(U)(U))
BT8-041,EXTRA,Android 21's Scheme,Blue,Series 8-MALICIOUS MACHINATIONS-,Common[C],"November 15, 2019","**[Field]** 
**[Auto]** **[Once per turn]**  When you or your opponent play a non-token Battle Card, it can't attack for the duration of the turn. 
**[Auto]**  When you play a black Battle Card, place it in its owner's Drop Area. 
**[Auto]**  At the start of your opponent's Main Phase, play 2 Clone Tokens with 10000 power in your opponent's Battle Area.",4((U)(U)(U))
BT8-042,EXTRA,Bulma's Advice,Blue,Series 8-MALICIOUS MACHINATIONS-,Common[C],"November 15, 2019","**[Activate Main]**  Draw 1 card, then choose up to 1 of your Leader Cards and it gets +5000 power until the end of your opponent's next turn.",3((U)(U))
BT8-043,EXTRA,Absolute Release Ball,Blue,Series 8-MALICIOUS MACHINATIONS-,Uncommon[UC],"November 15, 2019","**[Counter Play]**  If your Leader Card is blue and your life is at 4 or less : If the Battle Card being played has an energy cost of 3 or less, it is returned to its owner's hand instead of being played, then choose up to 1 of your blue energy and switch it to Active Mode. 
**[Permanent]**  If you have a multicolor card in your energy and your life is at 4 or less, you can activate this card's **[Counter]**  skill from your hand by adding a card from your life to your hand instead of paying its energy cost.",1((U))
BT8-043_SPR,EXTRA,Absolute Release Ball,Blue,Series 8-MALICIOUS MACHINATIONS-,Special Rare[SPR],"November 15, 2019","**[Counter Play]**  If your Leader Card is blue and your life is at 4 or less : If the Battle Card being played has an energy cost of 3 or less, it is returned to its owner's hand instead of being played, then choose up to 1 of your blue energy and switch it to Active Mode. 
**[Permanent]**  If you have a multicolor card in your energy and your life is at 4 or less, you can activate this card's **[Counter]**  skill from your hand by adding a card from your life to your hand instead of paying its energy cost.",1((U))
BT8-062,EXTRA,The Android Creator,Green,Series 8-MALICIOUS MACHINATIONS-,Common[C],"November 15, 2019","**[Activate Main]**  Choose 1 Clone Token in your opponent's Battle Area and remove it from the game : Draw 1 card, then choose 1 of your Battle Cards and it gets +10000 power for the duration of the turn.",1((G))
BT8-063,EXTRA,Rise of Dr.Uiro,Green,Series 8-MALICIOUS MACHINATIONS-,Common[C],"November 15, 2019","**[Auto]**  When you activate this card, you can't activate {Rise of Dr. Uiro} for the duration of the turn. 
**[Activate Main]**  If your Leader Card is a Dr. Uiro card : Look at up to 5 cards from the top of your deck, choose up to 1 Dr. Uiro or Dr. Kochin card among them, add it to your hand, then shuffle your deck. If you added a card to your hand, choose up to 1 of your green energy and switch it to Active Mode.",1((G))
BT8-064,EXTRA,Dr.Uiro's Revival,Green,Series 8-MALICIOUS MACHINATIONS-,Common[C],"November 15, 2019","**[Permanent]**  This card gains Desire in all areas. 
**[Activate Main]**  If your Leader Card is green : Choose up to 1 Dr. Uiro card in your Drop Area with an energy cost of 4 or less and play it.",3((G))
BT8-065,EXTRA,Focused Breakthrough,Green,Series 8-MALICIOUS MACHINATIONS-,Uncommon[UC],"November 15, 2019","**[Counter Play]**  If your Leader Card is green and your life is at 4 or less : If the Battle Card being played has an energy cost of 3 or less, it is placed in its owner's Drop Area instead of being played. 
**[Permanent]**  If you have a multicolor card in your energy and your life is at 4 or less, you can activate this card's **[Counter]**  skill from your hand by adding a card from your life to your hand instead of paying its energy cost.",1((G))
BT8-065_SPR,EXTRA,Focused Breakthrough,Green,Series 8-MALICIOUS MACHINATIONS-,Special Rare[SPR],"November 15, 2019","**[Counter Play]**  If your Leader Card is green and your life is at 4 or less : If the Battle Card being played has an energy cost of 3 or less, it is placed in its owner's Drop Area instead of being played. 
**[Permanent]**  If you have a multicolor card in your energy and your life is at 4 or less, you can activate this card's **[Counter]**  skill from your hand by adding a card from your life to your hand instead of paying its energy cost.",1((G))
BT8-085,EXTRA,Bingo Tournament Grand Prize,Yellow,Series 8-MALICIOUS MACHINATIONS-,Common[C],"November 15, 2019","**[Activate Battle]**  Choose up to 1 of your Leader Cards, it gets +5000 power for the duration of the battle, then choose up to 1 **[Dragon Ball]**  card from your deck or Drop Area, add it to your hand, then shuffle your deck if you looked through it.",1((Y))
BT8-086,EXTRA,Return of Planet Tuffle,Yellow,Series 8-MALICIOUS MACHINATIONS-,Common[C],"November 15, 2019","**[Permanent]**  This card gains Desire in all areas. 
**[Activate Main]**  Choose up to 2 of your opponent's Battle Cards, and switch them to Rest Mode.",2((Y))
BT8-087,EXTRA,Blutz Wave Generator,Yellow,Series 8-MALICIOUS MACHINATIONS-,Common[C],"November 15, 2019","**[Auto]**  When you activate this card, you can't activate {Blutz Wave Generator} for the duration of the turn. 
**[Activate Main]**  If your Leader Card is a Baby card : Look at up to 5 cards from the top of your deck, choose up to 1 Baby card among them, add it to your hand, then shuffle your deck. If you added a card to your hand, choose up to 1 of your yellow energy and switch it to Active Mode.",1((Y))
BT8-088,EXTRA,Super Galick Gun,Yellow,Series 8-MALICIOUS MACHINATIONS-,Uncommon[UC],"November 15, 2019","**[Counter Play]**  If your Leader Card is yellow and your life is at 4 or less : The Battle Card being played is played in Rest Mode.
**[Permanent]**  If you have a multicolor card in your energy and your life is at 4 or less, you can activate this card's **[Counter]**  skill from your hand by adding a card from your life to your hand instead of paying its energy cost.",1((Y))
BT8-088_SPR,EXTRA,Super Galick Gun,Yellow,Series 8-MALICIOUS MACHINATIONS-,Special Rare[SPR],"November 15, 2019","**[Counter Play]**  If your Leader Card is yellow and your life is at 4 or less : The Battle Card being played is played in Rest Mode.
**[Permanent]**  If you have a multicolor card in your energy and your life is at 4 or less, you can activate this card's **[Counter]**  skill from your hand by adding a card from your life to your hand instead of paying its energy cost.",1((Y))
BT8-101,EXTRA,Destron Gas,Black,Series 8-MALICIOUS MACHINATIONS-,Common[C],"November 15, 2019","**[Activate Battle]**  If your Leader Card is a Hatchhyack card, it gets +10000 power for the duration of the battle, then choose all of your opponent's Battle Cards with an energy cost of 1 and place them in their owners' Drop Areas.",1(-)
BT8-102,EXTRA,The Dark Planet,Black,Series 8-MALICIOUS MACHINATIONS-,Rare[R],"November 15, 2019","**[Field]** 
**[Auto]**  When this card is placed in a Battle Area, choose up to 1 Ghost Warrior card in your deck, add it to your hand, then shuffle your deck.
**[Auto]**  If your Leader Card is a black Machine Mutant card : At the end of your turn, place 2 cards from the top of your deck in your Drop Area.",1(-)
BT8-103,EXTRA,Ultimate Blow,Black,Series 8-MALICIOUS MACHINATIONS-,Common[C],"November 15, 2019","**[Counter Play]**  Choose up to 1 of your Battle Cards, and it gets +10000 power and **[Revenge]**  for the duration of the turn.",1(-)
BT8-104,EXTRA,Super Kamehameha,Black,Series 8-MALICIOUS MACHINATIONS-,Common[C],"November 15, 2019","**[Counter Play]**  If your Leader Card is black and your life is at 4 or less : If the Battle Card being played has an energy cost of 3 or less, it is sent to its owner's Warp instead of being played.
**[Permanent]**  If you have only black cards in your energy and your life is at 4 or less, you can activate this card's **[Counter]**  skill from your hand by adding a card from your life to your hand instead of paying its energy cost.",1(-)
